Microsoft,Amazon,Google,Apple
MIT,Stanford,UC Berkeley,Harvard
Apple,Orange,Banana,Strawberry
Pen,Eraser,Ruler,Calculator
Breakfast,Lunch,Dinner,Snack
Red,Purple,Green,Blue
China,India,Malaysia,Vietnam
Coca Cola,Pepsi,Mountain Dew,Sprite
Green Day,Billy Talent,Queen,Rolling Stones
Sine,Cosine,Tangent,Cotangent
Dog,Cat,Parrot,Snake
Squirrel,Raccoon,Possum,Porcupine
Hamsters,Fish,Mice,Guinea Pigs
Birds,Iguanas,Ferrets,Goats
Butterfly,Fly,Mosquito,Bee
Jaguar,Cougar,Bats,Spider Monkey
Anaconda,Serpent,Boa,Rattesnake
Electrian,Computer Scientist,Politician,Plumber
Celery,Carrot,Spinach,Cabbage
Amy,Beth,Catherine,Daisy
Max,John,Scott,Kyle
Sunny,Rainy,Snowy,Cloudy
Happy,Sad,Angry,Tired
Pliers,Hammer,Wrench,Screwdriver
T-Shirt,Pants,Vest,Jacket
Vodka,Bourbon,Tequila,Whiskey
Ipad,Ipod,Macbook,iMac
Motherboard,CPU,Monitor,Harddrive
Matlab,R,Mathematica,Autocad
Monopoly,Clue,Scrabble,Chess
Cereal,Granola Bar,Chocolate Bar,Energy Bar
Eiffel Tower,Taj Mahal,Twin Towers,Stonehenge
Scapel,Suture,Tweezers,Bandage
Shrimp,Lobster,Tuna,Salmon
Greece,Spain,France,Italy
Eleplant,Zebra,Lion,Tiger
Alabama,Alaska,Arizona,Arkansas
California,Colorado,Connecticut,Delaware
Florida,Georgia,Hawaii,Idaho
Illinois,Indiana,Iowa,Kansas
Massachusetts,Michigan,Minnesota,Mississippi
Missouri,Montana,Nebraska,Nevada
North Carolina,North Dakota,Ohio,Oklahoma
Oregon,Pennsylvania,Rhode Island,South Carolina
Afghanistan,Costa Rica,Liberia,Slovakia
Andorra,Cuba,Lithuania,Somalia
Angola,Cyprus,Luxembourg,South Africa
Belgium,Dominica,Malaysia,Suriname
Belize,Dominican Republic,Maldives,Swaziland
Bolivia,El Salvador,Marshall Islands,Syria
Aquatics,Swimming,Table Tennis,Equestrian
Gymnastics,Volleyball,Equestrian,Cycling
Tennis,Fencing,Aquatics,Softball
Athletics,Cycling,Triathlon,Wrestling
Sailing,Volleyball,Canoeing,Race walking
Field Hockey,Aquatics,Equestrian,Diving
Boxing,Handball,Cycling,Waterpolo
Rowing,Archery,Shooting,Synchronized Diving
Almond,Pistachio,Hazelnut,Brazil Nut
Apricot,Pomegranate,Dragon Fruit,Papaya
Aquamarine,Turquoise,Emerald,Teal
Maroon,Mauve,Mahogany,Lavender
Periwinkle,Plum,Flamingo,Scarlet
Wisteria,Yellow,Violet,Indigo
Exxon Mobil,Walmart,Chevron,GM
GE,AT&T,T-Mobile,Verizon
Ford,Toyota,Honda,Pontiac
Bank of America,Chase,CitiBank,Wells Fargo
McKinsey,Boston Consulting Group,Bain,Deloitte
Kroger,Costco,CVS,Wholefoods
Target,Walgreen,Procter & Gamble,Duane Reade
Boeing,Bombardier,Pfizer,MetLife
